Post,Sentence,SymptomCriticality,Symptom,Drug
"Dear all, I am sorry to hear/read such as bad negative statements. 

Yes the withdrawn symptoms, yes very difficult to get off the drug BUT you MUST tamper very very slowly. 
I learnt this and I am on and off this drug say once a year and/or when I want, here what I do...

From a health shop I buy some hawthorn herbs capsule (*I need the capsule to be empty*, so I put the hawthorn powder on my cereals –it is good for you, but sue that is not the topic)

Then if I started with 37.5, I open the capsule and divide the content in two>
Take for 5 days
Then>take 2 capsules 37.5 and divide the content in 3 capsule >take for 5/7days

Then you are at 37.5 (one original capsule) > take for at least 10 day (if you need to increase the dosage ...same fashion described, .. 
one 75 capsule, split in two and so on. 

AND TAKE NOTE WRITE ALL DOWN, TIME AND DOSAGE. If you use Effexor XR this way + cognitive therapy = The nightmare is over...live is fabulous again-;) (Well this is my experience anyway)

If you do not do this, yes all that bad stuff happens.
***Felling over optimist and a bit ...to happy. Write down a few notes and read them every morning, i.e. I am so confident because of the drug, don’t go overboard.

This is a great fabulous drug for anxiety/rage and depression.

PS: I have being in other antidepressants >same story.... get a pill cutter in the pharmacy.

Bottom line tampering may take you 3-4 months if you are taking it for 6-7 months, if you are taking for  1-2-3 years, you may need a year to go off WITH NO SIDE EFFECT....TAMPER THE INCREASE-DECREADE DOSE SLOWLY. (Quitting cold turkey...means pure madness do NOT do that).

PS. Tranquilizers ...CAREFUL the addiction is greater than the antidepressant

","this is a great fabulous drug for anxiety/rage and depression.","Symptoms are possibly bad: symptoms mentioned but no verb found",anxiety,effexor
"Overall I feel much better, although I am experiencing shakiness.  Not like anxiety, but my hands shake, which is aggravating!
","not like anxiety, but my hands shake, which is aggravating!
","Symptoms are bad: Presence of negative verb + symptoms",anxiety,effexor
"I have been very satisfied with the medication.  However, I was negligent in take the meds for 2 days in a row (I was completely involved with something and just FORGOT)  I will never do that again.   The withdrawal symptoms I experienced were horrendous - involving vomiting, tremendous nausea and compared to the worst kind of flu I ever had.   I have taken measures to remind myself to take the medication so that I never experience that again.   P.S.   I have been on this medication for at least 10 years.","the withdrawal symptoms i experienced were horrendous - involving vomiting, tremendous nausea and compared to the worst kind of flu i ever had.","Symptoms are possibly bad: symptoms mentioned but no verb found",vomiting,effexor
"Well I don´t have Depression now, but I still have dissines, headache and nervous.Iwas taken 225 mg and from yesterday 150 mg, but I still have does symtoms.","well i don´t have depression now, but i still have dissines, headache and nervous.iwas taken 225 mg and from yesterday 150 mg, but i still have does symtoms.","Symptoms are possibly bad: symptoms mentioned but no verb found",headache,effexor
"Effexor XR was a wonderful thing for me.  I took it happily for 15 years.  Then I developed severe acne at age 51.  It took three years to finally find the cause.  Effexor XR.  I went through some rough withdrawal, even with other medications.  I have not found a suitable replacement yet.  It's been a horrible ordeal.  I will get better.  This skin reaction was listed under rare reactions.  I just want people to know, don't ignore the rare reactions and they can happen, even after years of taking a medication with no problems.

","then i developed severe acne at age 51.","Symptoms are possibly bad: symptoms mentioned but no verb found",acne,effexor
"headaches and depression","headaches and depression","Symptoms are possibly bad: symptoms mentioned but no verb found",headache,effexor
"Its seems like it helps a little. I have been on a bunch of things because I have ADD, Depression and Anxiety. I seem to get gitters from time to time and the thing that Im noticing most is headaches. Does anyone else get them? That and dry mouth really bad. I take the 150 and the 75 everyday. I also, once a week or so, have really low lows. Like I want to just sit and cry and I think of all the bad things about myself and get down. Nothing suicidal at all, just low. ","i have been on a bunch of things because i have add, depression and anxiety.","Symptoms are possibly bad: symptoms mentioned but no verb found",anxiety,effexor
"Its seems like it helps a little. I have been on a bunch of things because I have ADD, Depression and Anxiety. I seem to get gitters from time to time and the thing that Im noticing most is headaches. Does anyone else get them? That and dry mouth really bad. I take the 150 and the 75 everyday. I also, once a week or so, have really low lows. Like I want to just sit and cry and I think of all the bad things about myself and get down. Nothing suicidal at all, just low. ","i seem to get gitters from time to time and the thing that im noticing most is headaches.","Symptoms are possibly bad: symptoms mentioned but no verb found",headache,effexor
"Its seems like it helps a little. I have been on a bunch of things because I have ADD, Depression and Anxiety. I seem to get gitters from time to time and the thing that Im noticing most is headaches. Does anyone else get them? That and dry mouth really bad. I take the 150 and the 75 everyday. I also, once a week or so, have really low lows. Like I want to just sit and cry and I think of all the bad things about myself and get down. Nothing suicidal at all, just low. ","that and dry mouth really bad.","Symptoms are possibly bad: symptoms mentioned but no verb found","dry mouth",effexor
"Having anxiety problems before bed.  Walk the halls, cant lay still, can't walk still, can't stay interested in TV or a Book ","having anxiety problems before bed.","Symptoms are possibly bad: symptoms mentioned but no verb found",anxiety,effexor
"Terrible withdrawal. Neurological jolts aka brain zaps. Vivid nightmares with night sweats. Moments of confusion, loss of interest. Loss of self. It goes on and on... go read some of the reviews on other sites!","vivid nightmares with night sweats.","Symptoms are possibly bad: symptoms mentioned but no verb found",nightmares,effexor
